it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm,incomp_error,rho_1,rho_2,rho_3,rho_4,rho_5
1,0.5,24.165162994667,0.00142126260763751,4.25025389403393e-14,12.0849539914478,12.0849539914478,6.8162841006999,0,0,0,0,0,0
2,1,24.165162994667,0.00142126260763784,1.43101501451454e-13,12.0849539914477,12.0849539914478,6.81628410069998,0,3.09601646420705e-07,1.95900007373346e-15,5.78587750984169e-16,2.76496647833577e-15,1.93881109357114e-15
3,1.5,24.165162994667,0.00142126260763878,2.39229044020895e-13,12.0849539914478,12.084953991448,6.81628410069999,0,1.16819514021968e-06,1.68029450697922e-14,1.46569449128164e-15,2.26789169875404e-15,2.34411439737319e-15
4,2,24.165162994667,0.00142126260764766,2.98623300867791e-13,12.084953991448,12.0849539914483,6.81628410069998,0,2.68081494156423e-06,7.14177672318127e-14,7.20178606105859e-16,1.25586413586451e-15,1.22058738253042e-15
5,2.5,24.165162994667,0.00142126260768302,3.61669988176999e-13,12.0849539914483,12.0849539914486,6.81628410069998,0,4.79560195481495e-06,1.89346703801442e-13,1.80013965228104e-15,2.17797826461321e-15,8.25054495420433e-16
6,3,24.165162994667,0.00142126260777833,5.08173662977e-13,12.0849539914486,12.0849539914491,6.81628410069999,0,7.3327803508575e-06,3.7203276526145e-13,1.10644382124223e-15,2.23776908957352e-15,2.26129277562027e-15
7,3.5,24.165162994667,0.00142126260797615,7.75255811330654e-13,12.0849539914491,12.0849539914498,6.81628410069998,0,1.00608825564414e-05,5.82105713374788e-13,1.97565695839448e-15,2.93726510958936e-15,1.03065364948042e-15
8,4,24.165162994667,0.00142126260831747,1.10495493743709e-12,12.0849539914496,12.0849539914507,6.81628410069997,0,1.27991824896426e-05,8.09785770017502e-13,1.25422301244172e-15,2.78266191021128e-15,2.25460229476849e-15
9,4.5,24.165162994667,0.0014212626088273,1.37671583048698e-12,12.0849539914504,12.0849539914518,6.81628410069996,0,1.55061305069102e-05,1.13475167785213e-12,1.41710271785203e-15,1.43220305441117e-15,1.44225634059519e-15
10,5,24.165162994667,0.00142126260950612,1.50120611337581e-12,12.0849539914516,12.0849539914531,6.81628410069997,0,1.82981783130109e-05,1.69510291415684e-12,1.7797720694312e-15,2.27369156827078e-15,1.26331757564964e-15
11,5.5,24.165162994667,0.00142126261033274,1.49221960490283e-12,12.0849539914532,12.0849539914546,6.81628410069998,0,2.13600119689588e-05,2.53377851094516e-12,4.92007486803108e-16,1.85369364080043e-15,1.18425561012088e-15
12,6,24.165162994667,0.00142126261127578,1.45056536904591e-12,12.0849539914549,12.0849539914563,6.8162841007,0,2.47875492897571e-05,3.61833205502496e-12,1.05605249882972e-15,1.72356150341855e-15,2.37453680565239e-15
13,6.5,24.165162994667,0.00142126261231116,1.4730482098649e-12,12.0849539914566,12.0849539914581,6.8162841007,0,2.84875634426017e-05,4.8681896976046e-12,2.42970233134684e-15,8.46079459944994e-16,1.03384821378752e-15
