it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm,incomp_error,rho_1,rho_2,rho_3,rho_4,rho_5
1,0.2,31.4159265358981,4.85719628741311e-15,0.463936205632783,157.084541417959,157.548477623592,4.43722107456094,0,6.22191546247833,0.00607276573953461,6.55630843450785e-06,7.32329710276657e-09,8.25880126619419e-12
2,0.4,31.415926535898,6.23848411696754e-15,0.389633025979271,157.136945523884,157.526578549863,4.4372210745609,0,5.70193384367154,0.0209257779223581,8.31125340804365e-05,3.32892936653938e-07,1.29183693867446e-09
3,0.6,31.415926535898,4.82318621909736e-15,0.285602532464526,157.229144625403,157.514747157868,4.43722107456092,0,4.88172275115306,0.0359301829561301,0.000268710088613664,1.81763003450071e-06,9.05519366967381e-09
4,0.8,31.4159265358983,3.23398306448085e-15,0.175523880945773,157.339577059652,157.515100940598,4.43722107456098,0,3.8269861389266,0.0410355987712041,0.000365344485361424,7.84775956505056e-07,7.43328665948056e-08
5,1,31.4159265358942,4.32220047593603e-15,0.0824022557947675,157.44391053373,157.526312789525,4.43722107455969,0,2.62215101648178,0.0295083472841047,2.66219310097342e-05,1.71132889099319e-05,7.32809436004205e-07
6,1.2,31.4159265358945,5.13999995234736e-15,0.0222809610000421,157.521848869586,157.544129830586,4.43722107455912,0,1.36352116728719,0.00169640434298232,0.0010925215300933,6.06874035934889e-05,2.23879905808625e-06
7,1.4,31.4159265359041,4.99205118621797e-15,0.000278340022263637,157.562492578772,157.562770918794,4.43722107456083,0,0.15145976185264,0.0337568097133147,0.00231091119925453,9.45935069532587e-05,2.52079623971265e-06
8,1.6,31.4159265359078,2.08429859552057e-15,0.0101052437105589,157.566653881574,157.576759125284,4.43722107456184,0,0.917743050732325,0.0619406837555336,0.00242326899604557,3.68254560886901e-05,2.13880923926922e-06
9,1.8,31.4159265358972,2.99383412431459e-15,0.037120101734039,157.545490474788,157.582610576522,4.43722107456077,0,1.75963329998883,0.066461700377319,0.000153410200135034,0.000154890541595381,9.49374019053728e-06
10,2,31.4159265359061,4.09411417191568e-15,0.0638612502038872,157.515983890553,157.579845140757,4.43722107456228,0,2.30834560881523,0.0354482640181192,0.0046565447374466,0.000371442846336053,7.08962683831643e-06
11,2.2,31.4159265358993,5.01559220038318e-15,0.076217140292221,157.494785550463,157.571002690755,4.43722107456017,0,2.52180485017351,0.033304682325728,0.0103352718934211,0.00037584527807226,1.31632538104761e-05
12,2.4,31.4159265358071,3.87706912767612e-15,0.0682184019739529,157.492458339079,157.560676741053,4.43722107454944,0,2.38497496365903,0.129969898613701,0.013853188353724,2.25037353387267e-05,3.49069170541586e-05
13,2.6,31.4159265358466,4.76292266746452e-15,0.0439257206446113,157.509976284844,157.553902005489,4.43722107455327,0,1.91090741476519,0.234184520871539,0.0124863138613243,0.000517153630892792,2.91576964110176e-05
14,2.8,31.4159265358715,4.06716436245958e-15,0.0158684627220691,157.538567061327,157.554435524049,4.43722107455611,0,1.13950438516224,0.320241196316315,0.00574645140796451,0.000814026378363441,3.49861738644199e-06
15,3,31.4159265359165,5.35912033047307e-15,0.000613614454826109,157.5628712694,157.563484883855,4.43722107456281,0,0.134082339094237,0.364539032773503,0.00376757195458047,0.000564883936181872,2.20069467810981e-05
16,3.2,31.4159265359715,8.93494615232071e-15,0.0129398764591774,157.566333194593,157.579273071052,4.43722107457248,0,1.02399934653318,0.353005981852407,0.011419931148188,5.33077248908091e-05,2.43194562885992e-06
17,3.4,31.4159265358862,6.06506636713447e-15,0.0604958774390093,157.53706279382,157.597558671259,4.43722107456185,0,2.24220419842826,0.286079760539325,0.0130882761422157,0.000475644097386151,3.87651524431352e-05
18,3.6,31.415926535964,5.97228781965983e-15,0.140645455391467,157.472295152438,157.612940607829,4.43722107456779,0,3.42459033194739,0.179521200615929,0.00770260648729623,0.000275339821127562,3.38253565639407e-05
19,3.8,31.4159265360707,9.8237536099477e-15,0.24051870219519,157.380024168611,157.620542870806,4.43722107460361,0,4.4798090536607,0.0606281125180783,0.00190996861379401,0.000389413358624026,9.37486840588647e-06
20,4,31.4159265359551,5.6571746871477e-15,0.34028954126586,157.277263398587,157.617552939853,4.4372210745372,0,5.32863908156205,0.039109602788229,0.01056841989508,0.000902206912345872,3.13291998728419e-05
21,4.2,31.4159210442989,6.3077779269349e-15,0.418344871054253,157.185325018815,157.60366988987,4.4372201915047,0,5.90811186370855,0.0928442311674233,0.0138916629875352,0.000796403246579692,1.76523754696932e-05
22,4.4,31.4159210197394,6.16076918733187e-15,0.458522301924339,157.124345005782,157.582867307706,4.4372202014324,0,6.18535860301862,0.0852056532413077,0.0106818043180941,0.000216749863980513,6.01373991203225e-06
