it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm,incomp_error,rho_1,rho_2,rho_3,rho_4,rho_5
1,0.2,31.4159265358981,5.87360025131142e-15,0.463936205632782,157.084541417959,157.548477623591,4.43722107456094,0,6.22191546247833,0.00607276573953399,6.55630843477614e-06,7.32329323135004e-09,8.25919129383174e-12
2,0.4,31.415926535898,5.51557461011615e-15,0.389633025979271,157.136945523883,157.526578549862,4.43722107456091,0,5.70193384367154,0.0209257779223586,8.31125340820138e-05,3.32892937545583e-07,1.29183975130009e-09
3,0.6,31.415926535898,6.43773862140813e-15,0.285602532464525,157.229144625404,157.514747157868,4.43722107456092,0,4.88172275115305,0.0359301829561304,0.000268710088614837,1.81763003704106e-06,9.05519537523777e-09
4,0.8,31.4159265358983,5.3645005501604e-15,0.175523880945766,157.339577059652,157.515100940598,4.43722107456099,0,3.82698613892653,0.041035598771244,0.000365344485380706,7.84775939788582e-07,7.4332907131271e-08
5,1,31.4159265358943,6.64903172490916e-15,0.0824022557947529,157.44391053373,157.526312789525,4.43722107455972,0,2.62215101648155,0.0295083472836694,2.66219315038364e-05,1.71132885043903e-05,7.32809932036482e-07
6,1.2,31.4159265358944,6.93807162626339e-15,0.0222809610000387,157.521848869585,157.544129830585,4.43722107455909,0,1.36352116728709,0.00169640434290387,0.00109252152996636,6.06874044928288e-05,2.23879867428988e-06
7,1.4,31.4159265359041,4.76240031692312e-15,0.000278340022260652,157.562492578771,157.562770918794,4.43722107456084,0,0.151459761851824,0.03375680971319,0.00231091119993041,9.45935069267969e-05,2.52079695942901e-06
8,1.6,31.415926535908,5.35757465164695e-15,0.0101052437105508,157.566653881575,157.576759125285,4.43722107456188,0,0.917743050731942,0.0619406837562895,0.00242326899569365,3.68254559352376e-05,2.13880921526947e-06
9,1.8,31.4159265358971,5.35145022809158e-15,0.0371201017340332,157.545490474789,157.582610576523,4.43722107456075,0,1.75963329998869,0.0664617003771738,0.000153410200275866,0.000154890541398859,9.49374042438217e-06
10,2,31.4159265359061,4.94345154335328e-15,0.0638612502039059,157.515983890553,157.579845140757,4.4372210745623,0,2.30834560881557,0.0354482640178203,0.00465654473866465,0.000371442845852004,7.08962686752061e-06
11,2.2,31.4159265358992,4.50511830593893e-15,0.0762171402922327,157.494785550461,157.571002690753,4.43722107456018,0,2.52180485017371,0.0333046823241593,0.0103352718933089,0.000375845278671829,1.31632537520784e-05
12,2.4,31.4159265358072,4.66594199800551e-15,0.0682184019740345,157.492458339079,157.560676741053,4.4372210745495,0,2.38497496366046,0.129969898613424,0.013853188350654,2.25037356889019e-05,3.49069168259823e-05
13,2.6,31.4159265358471,6.12524477300991e-15,0.0439257206448319,157.509976284847,157.553902005492,4.43722107455341,0,1.91090741477006,0.234184520869696,0.0124863138615588,0.000517153631813752,2.9157694298933e-05
14,2.8,31.4159265358726,3.74530681048512e-15,0.015868462722061,157.538567061333,157.554435524055,4.43722107455647,0,1.13950438516214,0.320241196313565,0.00574645140811919,0.000814026373799099,3.49861649665453e-06
15,3,31.4159265359167,6.86981869959976e-15,0.00061361445481505,157.562871269403,157.563484883857,4.43722107456284,0,0.134082339091302,0.364539032772741,0.00376757195785906,0.000564883938789817,2.20069384878611e-05
16,3.2,31.4159265359717,6.0237093987149e-15,0.0129398764593592,157.566333194596,157.579273071056,4.43722107457245,0,1.02399934654031,0.353005981855527,0.0114199311554169,5.33077224424489e-05,2.43194683124966e-06
17,3.4,31.4159265358855,6.12894729816541e-15,0.0604958774389817,157.537062793816,157.597558671255,4.43722107456156,0,2.2422041984278,0.286079760537849,0.0130882761378681,0.00047564409225665,3.87651521393074e-05
18,3.6,31.4159265359637,5.66255641907848e-15,0.140645455391409,157.472295152434,157.612940607826,4.43722107456769,0,3.4245903319467,0.179521200614069,0.00770260648759677,0.0002753398236795,3.38253546329989e-05
19,3.8,31.4159265360705,3.60130758757984e-15,0.240518702194914,157.380024168609,157.620542870804,4.43722107460359,0,4.47980905365814,0.0606281125177927,0.00190996861504001,0.000389413361667901,9.37486610990614e-06
20,4,31.4159265359567,3.35206812160423e-15,0.340289541266172,157.277263398597,157.617552939863,4.43722107453784,0,5.32863908156446,0.0391096028070818,0.0105684198743148,0.000902206920290506,3.13291721682235e-05
21,4.2,31.4159265362587,6.5048378031288e-15,0.418673328460854,157.185445619484,157.604118947945,4.43722107463432,0,5.91043140521678,0.0927171510017798,0.0138181910660478,0.000796611746007597,1.09297479363909e-06
22,4.4,31.4159265358927,5.40621559582432e-15,0.45890847563123,157.124398964936,157.583307440567,4.43722107454452,0,6.18796308385403,0.0851476344752925,0.0106372979123519,0.000218903867155366,4.03791524935718e-05
23,4.6,31.4159265359537,4.97927023285813e-15,0.453325587972923,157.106813112964,157.560138700936,4.43722107455762,0,6.15034829269344,0.0171178802317571,0.00403300466995083,0.00024816564066167,4.41572837740401e-05
24,4.8,31.4159265360295,4.93015606425555e-15,0.405098618603528,157.13493706475,157.540035683354,4.43722107458818,0,5.81380762149332,0.0958278774278691,0.000860850463893994,0.000207156013155374,2.36288973092441e-05
25,5,31.4159265360326,5.39455056032319e-15,0.326738335997568,157.200477122546,157.527215458544,4.43722107458294,0,5.22024464294891,0.228749592778801,6.53999541224276e-05,0.000163712566223478,2.53900128872594e-05
26,5.2,31.4159265359356,3.9729380463454e-15,0.235964121500812,157.287581663885,157.523545785386,4.4372210745669,0,4.4337288023437,0.355544851185218,0.00757699894406976,0.00035699209531962,5.69225622166578e-05
27,5.4,31.4159265359864,3.31065651449271e-15,0.150396885542116,157.377809706421,157.528206591963,4.43722107458289,0,3.53514259341275,0.457373535216723,0.0191053301027774,0.000103339477231038,8.84555690436975e-05
28,5.6,31.4159265359771,5.07409012290682e-15,0.0828150202654717,157.455407488733,157.538222508999,4.43722107457877,0,2.61541296104239,0.528561827504151,0.0309723313785741,0.000396488298176885,0.000113656806446506
29,5.8,31.4159265358764,5.7498064455349e-15,0.0384592923586818,157.511202847632,157.549662139991,4.43722107455326,0,1.76788956475453,0.578058435061807,0.0411689597944296,0.000799820134654521,0.000160241668545948
30,6,31.4159265359515,3.84750953924189e-15,0.0151693510314331,157.543931292539,157.559100643571,4.43722107456082,0,1.08052618721834,0.625953868641828,0.0506538476145263,0.00105369277454544,0.00024217285801296
31,6.2,31.415926536075,5.15107468282586e-15,0.00619186269149562,157.558665681122,157.564857543813,4.43722107460224,0,0.628543388157223,0.696191771970814,0.0622170468408929,0.00136270730848676,0.000352531122045126
32,6.4,31.4159265359346,4.40815734772633e-15,0.00459041342604077,157.562990591618,157.567581005044,4.43722107456315,0,0.46819703302136,0.807856298395981,0.0777331626028327,0.00172293358784307,0.00051536800626079
33,6.6,31.4159265360559,5.57513961432914e-15,0.00760830747094363,157.562350013582,157.569958321053,4.43722107458842,0,0.632164839386816,0.96789853204217,0.0958468652896458,0.001633335647011,0.000791209340552529
34,6.8,31.4159265362807,4.85829959876695e-15,0.0193212967546782,157.556318509518,157.575639806273,4.43722107462942,0,1.12691704518475,1.16772210070815,0.11191487344475,0.000440014319908276,0.00119634682526783
35,7,31.415926535599,4.16346935678168e-15,0.050510554047822,157.537244190776,157.587754744823,4.43722107448656,0,1.93227823367833,1.38483311469646,0.120497689680064,0.00197558220288022,0.00165409723026871
36,7.2,31.4159265361156,3.8579983583949e-15,0.115674924077473,157.491871706361,157.607546630438,4.43722107461021,0,3.003221613895,1.58915486200675,0.118898003045089,0.00491894379748632,0.00207175033352294
37,7.4,31.4159265364216,3.72077773109571e-15,0.228106027258858,157.405495655496,157.633601682755,4.43722107464773,0,4.27376256336773,1.75211498538809,0.10942876729324,0.00738455525178208,0.00244882910132529
38,7.6,31.4159265363869,5.96640051633821e-15,0.394610111588886,157.267319442844,157.661929554432,4.43722107463408,0,5.662636755609,1.85571131970054,0.0988504341554854,0.00887382237844546,0.00286942419019847
39,7.8,31.4159265364131,4.88631174022962e-15,0.611586529546306,157.075290005797,157.686876535343,4.43722107464862,0,7.08027517857774,1.8987576753892,0.0952484142329258,0.00971424707829378,0.00340331790004169
40,8,31.4159265362084,6.49325340198035e-15,0.863774463587742,156.838830168924,157.702604632512,4.43722107461516,0,8.43645344952084,1.89841283436646,0.104286586070603,0.0105892844465814,0.00406743738324683
41,8.2,31.4159265358896,3.83243341155493e-15,1.12620673656555,156.578504214542,157.704710951108,4.43722107457618,0,9.64792612539097,1.88659949804179,0.127148076576571,0.0118005728776703,0.00489283309237754
42,8.4,31.4159265348951,3.98469498283112e-15,1.36897964340297,156.322537042516,157.691516685919,4.43722107440138,0,10.6453753427183,1.90250847533288,0.161338612467254,0.0130037356158897,0.00598519224928417
43,8.6,31.4159265354704,4.10983163683906e-15,1.56360726955929,156.10102883032,157.664636099879,4.43722107447343,0,11.3790992752584,1.98353169182453,0.203682995214906,0.0135977908252379,0.0074996617364428
44,8.8,31.415926536224,3.29155233369431e-15,1.68922799337019,155.939412726107,157.628640719477,4.43722107461736,0,11.8230123338333,2.15733132258293,0.253525441892766,0.0132726730163164,0.00959722240147701
45,9,31.4159265356601,4.63782196618345e-15,1.73695948223609,155.85295912693,157.589918609167,4.43722107449444,0,11.9766901332151,2.43726716024962,0.314165066474668,0.012152853017617,0.0124740318927455
46,9.2,31.4159265365785,2.79048381487057e-15,1.71128440898001,155.843811286044,157.555095695024,4.43722107468689,0,11.8653437108713,2.82226460755982,0.391806371055741,0.0105110718481588,0.0164432356810092
47,9.4,31.4159265362616,4.11138125623327e-15,1.62830039759316,155.901224643339,157.529525040932,4.43722107460485,0,11.5377429333569,3.30077856386005,0.492878805052357,0.00851384645164011,0.0219924195987167
48,9.6,31.4159265357407,4.20640755782537e-15,1.51163740453818,156.004665392825,157.516302797363,4.4372210745154,0,11.0622377616266,3.8572259804069,0.621427920838497,0.0063858370270616,0.0298067071343611
