it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm
1,0.5,12.566048364114,1.72778455397708e-06,0.0225427070819793,6.2846870552892,6.30722976237118,3.54923934110848
2,1,12.5652689050937,9.32179690936864e-06,0.0064583532012014,6.29853707174388,6.30499542494508,3.54899420366555
3,1.5,12.5644365898095,2.28529138201341e-05,8.98275836220956e-06,6.31016043535168,6.31016941811004,3.54871413475743
4,2,12.5639211424712,3.78016048069145e-05,0.00447158294491014,6.30938834675444,6.31385992969935,3.548497535691
5,2.5,12.5639456750078,5.34293013190254e-05,0.00793353692448823,6.30418917752959,6.31212271445408,3.54840805292838
6,3,12.5645325086021,6.34664997566442e-05,0.00452370193429307,6.30574002014742,6.31026372208172,3.54846486806272
7,3.5,12.5654572821039,6.5024150330266e-05,0.000327975121551016,6.31241929887823,6.31274727399978,3.54863307562393
8,4,12.5663396155453,5.41054287042015e-05,0.00103067496931365,6.31543772538135,6.31646840035067,3.54884335234341
9,4.5,12.5668439156346,3.79447099499316e-05,0.0036467016343783,6.31300936811606,6.31665606975044,3.5490230091892
10,5,12.566735282334,3.84683233640023e-05,0.00412391245218306,6.31189188932741,6.31601580177959,3.54899093390955
11,5.5,12.566735282334,3.84683233640023e-05,0.00412391245218306,6.31189188932741,6.31601580177959,3.54899093390955
12,6,12.5664275166831,4.09042122699205e-05,0.00155416568854337,6.31293666292738,6.31449082861592,3.54889832548629
13,6.5,12.5660679406798,4.64892918565986e-05,1.51332551593e-06,6.31508761352857,6.31508912685409,3.54878236456472
14,7,12.5658338072081,5.32685373853653e-05,0.000984886957810344,6.31499144568583,6.31597633264364,3.54868941290202
15,7.5,12.5658465414334,5.97207470945182e-05,0.00198826489370918,6.3137664144264,6.31575467932011,3.54865379952137
16,8,12.5661192370545,6.40583153009952e-05,0.00124998309660003,6.31424115540617,6.31549113850277,3.54868685405883
17,8.5,12.5665504768106,6.4575398103589e-05,0.000125878302762229,6.31622742858517,6.31635330688793,3.54877321298068
18,9,12.5669671858612,5.91778450717637e-05,0.000213305341892481,6.31733127276728,6.31754457810917,3.54887983571607
19,9.5,12.5672073391435,5.23630358365558e-05,0.000903056060661998,6.31678304474563,6.31768610080629,3.54896784794222
20,10,12.5671538924671,5.32266635860015e-05,0.00109923997729126,6.31642747236,6.31752671233729,3.54895215820445
