it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm
1,0.5,12.5659626839145,-6.35120359688441e-06,0.0289930783280262,6.29171710184799,6.32071018017601,3.54921222753117
2,1,12.5649928958934,-4.83838260241964e-06,0.0141113146500998,6.30677527726399,6.32088659191409,3.54891099288007
3,1.5,12.5638809775411,5.09403212342311e-06,0.00147073442994074,6.31179004269956,6.3132607771295,3.54854290983338
4,2,12.5630363124771,2.00855424431737e-05,0.00148199552260534,6.30620814055061,6.30769013607322,3.54821457531513
5,2.5,12.5627171443306,3.62688795441209e-05,0.00690960355419251,6.30268229229261,6.3095918958468,3.54799530234381
6,3,12.5629732524111,4.9144607587748e-05,0.0068993137605346,6.30726929296694,6.31416860672747,3.54790774684492
7,3.5,12.5636226215519,5.35092596298017e-05,0.00211128054636765,6.31327309810065,6.31538437864702,3.54793088050422
8,4,12.5643138501424,4.7471510540097e-05,3.53683493704413e-05,6.31393781424806,6.31397318259743,3.54800979350949
9,4.5,12.5647110971239,3.55096039634578e-05,0.00222934198553729,6.31151370477969,6.31374304676523,3.54807752639505
10,5,12.5646768166148,2.49451931655599e-05,0.00371801881076051,6.31107873535172,6.31479675416248,3.54808760808155
11,5.5,12.5643041262921,2.04151869163562e-05,0.00204249861807673,6.31240897403072,6.3144514726488,3.5480348045245
12,6,12.5638176830324,2.24122118514524e-05,0.00013040489856116,6.31223715547138,6.31236756036994,3.54794877793907
13,6.5,12.563446012646,2.88379780271911e-05,0.000502939236746482,6.31047844658379,6.31098138582054,3.54787053880338
14,7,12.5633336344335,3.65671426078081e-05,0.00168614968978096,6.3099275761506,6.31161372584038,3.54783134383974
15,7.5,12.5634942166812,4.22740930014243e-05,0.00147248909842902,6.31148861501446,6.31296110411289,3.54784128674673
16,8,12.5638212447442,4.35044678159152e-05,0.000352878013114629,6.31317758395015,6.31353046196327,3.54788907522193
17,8.5,12.5641407006553,4.01024381405736e-05,3.98208138265792e-05,6.31343785065649,6.31347767147032,3.5479479580655
18,9,12.5643042205296,3.44424478351815e-05,0.00061290465764077,6.31292709992491,6.31354000458255,3.54798895102231
19,9.5,12.5642616973496,2.96392096069116e-05,0.000855651402682171,6.3127500961697,6.31360574757238,3.54799550391656
20,10,12.5640677250557,2.77209056869494e-05,0.000395964915124522,6.31277524374801,6.31317120866313,3.54797040594754
21,10.5,12.5638348470143,2.89663379301748e-05,9.15559722290139e-06,6.31241986926884,6.31242902486606,3.54793048571764
22,11,12.563668354445,3.22931639119219e-05,0.000159499788083643,6.31190987751875,6.31206937730683,3.54789448575165
23,11.5,12.5636344314393,3.59889944665418e-05,0.00040881993876207,6.31191975839798,6.31232857833674,3.54787892352672
24,12,12.5637267784245,3.83857563992522e-05,0.000309125476762007,6.31248977859753,6.31279890407429,3.54788650574688
25,12.5,12.5638882055622,3.85900674477279e-05,5.58947767763608e-05,6.31303181115025,6.31308770592703,3.54791172470221
26,13,12.5640322782575,3.67935999642896e-05,1.95486050064485e-05,6.31316672459648,6.31318627320149,3.54793915747329
27,13.5,12.5640982000129,3.41624689540355e-05,0.0001566283804607,6.31305389092078,6.31321051930124,3.54795679483837
28,14,12.5640689055025,3.20213251630453e-05,0.000190094598417812,6.31293342819824,6.31312352279666,3.54795865161667
29,14.5,12.5639723638325,3.12436692751461e-05,7.63096787791839e-05,6.31280380862835,6.31288011830713,3.54794551029774
