it,time,Mass,Momentum,Epot,Ekin,Etot,L2norm
1,0.25,31.4159265358976,1.45796309015306e-15,0.449261376332931,157.087302583422,157.536563959755,4.43722107456088
2,0.5,31.4159265358975,1.71210344531735e-15,0.339887371750487,157.166982175758,157.506869547508,4.43722107456086
3,0.75,31.4159265358975,1.07006465332335e-15,0.20223558446419,157.296936279064,157.499171863528,4.43722107456085
4,1,31.4159265358979,1.60509697998502e-15,0.0823783253437763,157.431451838523,157.513830163867,4.43722107456095
5,1.25,31.4159265358977,1.23057435132185e-15,0.013270192714011,157.528476729646,157.54174692236,4.43722107456088
6,1.5,31.4159265358997,1.44458728198652e-15,0.00197960685891337,157.567052958719,157.569032565577,4.4372210745611
7,1.75,31.4159265359004,1.12356788598951e-15,0.029626381781135,157.554152807141,157.583779188922,4.43722107456118
8,2,31.4159265358959,1.60509697998502e-15,0.0636054648923006,157.51803890952,157.581644374413,4.43722107456111
9,2.25,31.4159265358984,2.29060714852029e-15,0.0757080501893734,157.491823083984,157.567531134174,4.43722107456224
10,2.5,31.4159265359028,1.64522440448464e-15,0.0569716289059942,157.495640485517,157.552612114423,4.43722107456126
11,2.75,31.4159265358911,1.4713388983196e-15,0.0219497721324894,157.526357082072,157.548306854204,4.43722107455985
12,3,31.4159265358895,1.81910991064969e-15,0.000571130500375214,157.559725478586,157.560296609087,4.43722107456001
13,3.25,31.4159265358834,1.33758081665418e-15,0.0219240805129192,157.563582033209,157.585506113722,4.43722107455995
14,3.5,31.4159265358837,1.33758081665418e-15,0.0981034725382979,157.515328233815,157.613431706354,4.43722107455839
15,3.75,31.4159265359909,1.33758081665418e-15,0.216082100076521,157.415039159299,157.631121259376,4.43722107457865
16,4,31.4159265358943,1.55159374731885e-15,0.341680238098762,157.287735169633,157.629415407732,4.4372210745573
17,4.25,31.41592653601,6.95542024660175e-16,0.43385644686096,157.173559082086,157.607415528947,4.43722107459149
18,4.5,31.4159265359486,1.33089291257091e-15,0.462423167000293,157.110514451743,157.572937618743,4.43722107457468
19,4.75,31.4159265359285,1.16369531048914e-15,0.420570683404867,157.118169944936,157.53874062834,4.4372210745698
20,5,31.4159265359279,1.76560667798352e-15,0.326349846426084,157.190188212955,157.516538059381,4.43722107456784
21,5.25,31.4159265359369,1.28407758398802e-15,0.213002495030547,157.298875323092,157.511877818123,4.4372210745679
22,5.5,31.4159265358897,1.17707111865568e-15,0.1135205211873,157.408825192564,157.522345713751,4.43722107455812
23,5.75,31.4159265359471,7.22293640993259e-16,0.047291635152326,157.492467976401,157.539759611554,4.4372210745707
24,6,31.4159265358923,2.48790031897678e-15,0.0152454342148073,157.539839998742,157.555085432956,4.43722107456048
25,6.25,31.4159265359129,1.48471470648614e-15,0.00544968170417086,157.558081032778,157.563530714482,4.43722107456258
26,6.5,31.415926535872,1.32253303246682e-15,0.00568125579931189,157.561462739586,157.567143995385,4.43722107455467
27,6.75,31.415926535843,8.82803338991761e-16,0.0157120840728578,157.557746847448,157.573458931521,4.43722107455264
28,7,31.4159265358259,2.64841001697528e-15,0.052066924662102,157.538780776817,157.590847701479,4.43722107454919
29,7.25,31.4159265357845,3.04968426197154e-15,0.142057566699755,157.481045119485,157.623102686184,4.4372210745423
30,7.5,31.4159265359185,2.67516163330837e-15,0.309715120260136,157.356451789654,157.666166909914,4.43722107456093
31,7.75,31.4159265360804,4.28025861329339e-15,0.56055140631202,157.148178313456,157.708729719768,4.43722107458939
32,8,31.4159265360275,-1.60509697998502e-16,0.872793210265052,156.863667703501,157.736460913766,4.43722107457651
33,8.25,31.4159265359981,8.0254848999251e-16,1.19983689127247,156.538157125473,157.737994016745,4.43722107457567
34,8.5,31.4159265360007,1.12356788598951e-15,1.48364996049283,156.226336538756,157.709986499248,4.43722107458405
35,8.75,31.4159265359351,1.71210344531735e-15,1.67384639416155,155.985076384063,157.658922778225,4.4372210745597
36,9,31.4159265359902,1.33590884063337e-15,1.7444346019135,155.854336385557,157.598770987471,4.4372210745726
37,9.25,31.4159265359906,-2.67516163330837e-17,1.70131166411206,155.844317273287,157.545628937399,4.43722107457765
38,9.5,31.4159265359015,-5.61783942994757e-16,1.57810985573294,155.933891166476,157.512001022209,4.43722107456162
39,9.75,31.4159265359155,-6.68790408327091e-16,1.42356549681629,156.079831506085,157.503397002901,4.43722107455612
40,10,31.415926536031,-3.47771012330088e-16,1.28715471874686,156.231401575867,157.518556294614,4.43722107458658
